Element,locus,n,spearman,model
BCL11A,BCL11A,1985,-0.008652369012599859,Ridge | context only
F9,F9,952,0.029428635350651693,Ridge | context only
FOXE1,FOXE1,1923,-0.01747759366740505,Ridge | context only
GP1BA,GP1BA,1239,0.08425439085169986,Ridge | context only
HBB,HBB,596,0.24213589519987283,Ridge | context only
HBG1,HBG1,888,0.07291691337266532,Ridge | context only
HNF4A,HNF4A,931,0.0045667906837166695,Ridge | context only
IRF4,IRF4,1458,0.0007677185341550245,Ridge | context only
IRF6,IRF6,1739,-0.023130894771077912,Ridge | context only
LDLR,LDLR,1004,-0.10958636251559287,Ridge | context only
LDLR.2,LDLR,1024,-0.07944298288749016,Ridge | context only
MSMB,MSMB,1912,0.07509612859643433,Ridge | context only
MYCrs11986220,MYCrs11986220,1554,-0.014120041012498925,Ridge | context only
MYCrs6983267,MYCrs6983267,1809,-0.009835823490153658,Ridge | context only
PKLR-24h,PKLR,1503,0.04841346431425332,Ridge | context only
PKLR-48h,PKLR,1533,0.04987823381403328,Ridge | context only
RET,RET,1911,-0.04412445754862895,Ridge | context only
SORT1,SORT1,1806,0.030324826337148735,Ridge | context only
SORT1-flip,SORT1,1884,-0.007699305267884176,Ridge | context only
SORT1.2,SORT1,1918,0.0374667737062361,Ridge | context only
TCF7L2,TCF7L2,1801,-0.009301804008666207,Ridge | context only
TERT-GAa,TERT,869,-0.14969806808558728,Ridge | context only
TERT-GBM,TERT,878,-0.12132022835441049,Ridge | context only
TERT-GSc,TERT,866,-0.13768555443580655,Ridge | context only
TERT-HEK,TERT,865,-0.053596734408118886,Ridge | context only
UC88,UC88,1840,0.02804272372224364,Ridge | context only
ZFAND3,ZFAND3,1893,0.024893733898432913,Ridge | context only
ZRSh-13,ZRS,1571,0.09131100828123587,Ridge | context only
ZRSh-13h2,ZRS,1572,0.0942332397692408,Ridge | context only
BCL11A,BCL11A,1985,0.04550264390344012,Gradient boosting | context only
F9,F9,952,0.06596622382869952,Gradient boosting | context only
FOXE1,FOXE1,1923,0.029878549249459367,Gradient boosting | context only
GP1BA,GP1BA,1239,0.08238710459748111,Gradient boosting | context only
HBB,HBB,596,0.2158573590982378,Gradient boosting | context only
HBG1,HBG1,888,0.23629394013063643,Gradient boosting | context only
