Element,GRCh38_coordinates,Cell_line,WT_MPRA_fold_change,Construct_size_bp
F9,"chrX:139,530,463-139,530,765",HepG2,2.1,303
FOXE1,"chr9:97,853,255-97,853,854",HeLa,2.5,600
GP1BB,"chr22:19,723,266-19,723,650",HEL 92.1.7,12.3,385
HBB,"chr11:5,227,022-5,227,208",HEL 92.1.7,8.4,187
HBG1,"chr11:5,249,805-5,250,078",HEL 92.1.7,41.8,274
HNF4A_P2,"chr20:44,355,520-44,355,804",HEK293T,1.3,285
LDLR,"chr19:11,089,231-11,089,548",HepG2,76.6,318
MSMB,"chr10:46,046,244-46,046,834",HEK293T,3.4,593
PKLR,"chr1:155,301,395-155,301,864",K562,9.6,470
TERT,"chr5:1,294,989-1,295,247",HEK293T/SF7996,148.2/2.7,259
